,GSM461176_untreated_single,GSM461177_untreated_paired,GSM461178_untreated_paired,GSM461179_treated_single,GSM461180_treated_paired,GSM461181_treated_paired,GSM461182_untreated_single
FBgn0034417,434,284,345,281,229,258,213
FBgn0027535,1641,1190,1092,1588,1211,1301,1190
FBgn0034418,1793,1249,1233,2028,1534,1976,1051
FBgn0034419,921,643,673,864,641,734,659
FBgn0000578,15523,9248,7493,11020,6797,8150,7695
FBgn0263290,9,10,4,8,0,6,2
FBgn0034420,7651,6056,5613,6036,5482,6587,5168
FBgn0263395,3807,3043,2829,3966,3254,4010,2359
FBgn0034422,364,205,273,315,229,299,299
FBgn0010434,34712,23920,21877,32051,25809,31280,19616
FBgn0004003,15,0,3,8,1,4,4
FBgn0053454,0,0,0,1,0,0,0
FBgn0053453,0,0,0,0,2,0,0
FBgn0265614,1,0,0,1,0,0,1
FBgn0034423,1,1,0,1,0,0,0
FBgn0003254,92,2,6,52,4,4,3
FBgn0034425,574,488,458,585,494,625,471
FBgn0034426,0,0,0,0,0,0,0
FBgn0034427,0,2,0,1,0,0,0
FBgn0034428,0,0,0,7,0,0,0
FBgn0034429,2,0,0,0,0,1,1
FBgn0013954,9543,5373,6363,8761,7203,8835,5690
FBgn0034430,704,430,533,926,548,742,528
FBgn0086358,3182,2363,2067,1991,1656,2003,1622
FBgn0034432,3076,1996,2013,2420,1825,2152,1960
FBgn0034433,759,456,499,770,498,659,583
FBgn0264753,343,262,267,42,20,35,197
FBgn0054045,1,0,1,0,0,0,0
FBgn0034435,6,2,6,9,0,1,1
FBgn0034436,3264,1957,2151,3688,2522,2916,2184
FBgn0034437,4,3,3,5,4,4,2
FBgn0034438,74,42,51,268,168,170,39
FBgn0034439,12,0,9,5,7,2,7
FBgn0034440,6,2,5,4,3,2,4
FBgn0034441,3,0,3,3,0,0,1
FBgn0034442,131,78,68,125,72,64,62
FBgn0261439,4177,3474,3411,3852,3858,4879,3129
FBgn0034443,121,131,186,278,132,115,132
FBgn0267587,6,2,0,3,1,2,0
FBgn0263391,8806,5968,5346,8349,5381,6224,4860
FBgn0263378,0,0,0,0,0,0,0
FBgn0263464,4,3,1,5,0,1,0
FBgn0028981,2,3,2,0,1,2,0
FBgn0050225,2,0,0,2,0,0,0
FBgn0050326,1,2,2,4,1,0,0
FBgn0012051,3057,1968,2113,3392,2122,2534,2059
FBgn0020440,1783,1032,932,1659,942,1130,1061
FBgn0040273,2820,2075,2174,2714,2191,2787,2081
FBgn0013325,44135,31377,41357,41464,35622,43698,30566
FBgn0082987,13,15,17,16,13,21,15
FBgn0034446,3,3,3,5,2,4,3
FBgn0266711,1194,658,983,1360,946,1007,870
FBgn0003887,32631,27527,28241,35302,41874,53148,28069
FBgn0034447,2154,1417,1488,1691,1209,1573,1572
FBgn0002716,91,83,78,90,55,77,45
FBgn0260934,13155,8977,7500,9781,7030,8647,7100
FBgn0034451,1379,751,805,1433,882,1187,786
FBgn0034452,87,64,39,98,73,88,65
FBgn0026378,829,496,601,900,672,866,575
FBgn0261456,1436,1031,959,1426,1117,1447,947
FBgn0034454,0,0,2,1,2,0,1
FBgn0040732,7,2,1,7,1,1,1
FBgn0034455,940,617,626,788,587,698,627
FBgn0265665,0,0,0,0,2,0,1
FBgn0050223,0,0,0,0,0,0,0
FBgn0034456,2,0,0,2,0,0,0
FBgn0034457,0,1,2,2,1,0,0
FBgn0034458,0,0,1,2,0,0,0
FBgn0003435,413,253,196,401,231,228,157
FBgn0262571,0,0,0,2,0,0,2
FBgn0053535,0,1,0,1,0,0,0
FBgn0262170,0,1,0,1,0,0,0
FBgn0034459,0,8,0,8,1,2,0
FBgn0265666,2,0,0,1,0,0,0
FBgn0265667,0,0,0,1,0,0,1
FBgn0265696,1,0,1,1,1,0,0
FBgn0261807,1,1,2,1,0,1,0
FBgn0034460,0,0,0,0,0,0,0
FBgn0263515,0,0,0,0,0,0,0
FBgn0262966,0,0,0,0,1,0,0
FBgn0034461,0,0,0,1,0,0,0
FBgn0034462,1,0,0,0,0,0,0
FBgn0265142,0,0,0,0,0,0,0
FBgn0265143,0,0,0,0,0,0,0
FBgn0265144,0,0,0,0,0,0,0
FBgn0265145,1,0,0,1,0,0,0
FBgn0034463,0,0,1,0,0,0,0
FBgn0265697,1,0,0,1,0,0,0
FBgn0262418,0,0,0,0,0,0,0
FBgn0262410,0,0,0,0,0,0,0
FBgn0262464,0,0,0,0,0,0,0
FBgn0262408,0,0,0,0,0,0,0
FBgn0262414,0,0,0,0,0,0,0
FBgn0262443,0,0,0,0,0,0,0
FBgn0262372,0,0,0,0,0,0,0
FBgn0262380,0,0,0,0,0,0,0
FBgn0034464,1,0,0,1,2,0,0
FBgn0015949,7074,4259,3976,5830,3652,4511,4232
FBgn0028372,533,301,322,583,357,457,332
FBgn0040730,0,2,3,0,0,2,0
FBgn0085227,3,2,0,6,0,4,0
FBgn0265698,2,2,0,0,0,0,0
FBgn0034467,10,8,9,15,4,14,9
FBgn0040729,4,6,1,0,0,0,0
FBgn0265699,6,2,3,19,0,1,2
FBgn0034468,5,4,6,4,2,6,0
FBgn0046880,2,0,0,2,0,0,0
FBgn0046879,0,0,0,5,0,0,0
FBgn0034470,0,0,0,0,0,0,0
FBgn0265702,0,0,0,0,0,0,0
FBgn0034471,0,0,0,0,0,0,0
FBgn0043533,0,0,0,0,0,0,0
FBgn0034472,1,0,0,2,0,0,0
FBgn0050215,0,0,0,0,1,0,0
FBgn0050452,0,0,0,0,0,0,0
FBgn0050218,0,0,0,0,0,0,0
FBgn0011850,0,0,0,0,0,0,0
FBgn0065076,1,0,0,5,0,0,0
FBgn0011849,0,0,0,0,0,0,0
FBgn0011848,0,0,0,0,0,0,0
FBgn0050454,0,0,0,0,0,0,0
FBgn0050220,0,0,0,0,0,0,0
FBgn0050449,1,0,0,1,0,0,0
FBgn0053452,0,0,0,0,0,0,0
FBgn0053451,0,0,0,0,0,0,0
FBgn0053450,0,0,0,0,0,0,0
FBgn0053449,0,0,0,0,0,0,0
FBgn0053448,0,0,0,0,0,0,0
FBgn0053447,0,0,0,0,0,0,0
FBgn0053446,0,0,0,0,0,0,0
FBgn0053445,0,0,0,0,0,0,0
FBgn0053444,0,0,0,0,0,0,0
FBgn0053443,0,0,0,0,0,0,0
FBgn0053442,0,0,0,0,0,0,0
FBgn0053441,0,0,0,0,0,0,0
FBgn0053440,0,0,0,0,0,0,0
FBgn0053439,0,0,0,0,0,0,0
FBgn0053438,0,0,0,0,0,0,0
FBgn0053437,0,0,0,0,0,0,0
FBgn0053436,0,0,0,0,0,0,0
FBgn0053435,0,0,0,0,0,0,0
FBgn0053434,0,0,0,0,0,0,0
FBgn0053433,0,0,0,0,0,0,0
FBgn0053432,0,0,0,0,0,0,0
FBgn0053431,0,0,0,0,0,0,0
FBgn0053430,0,0,0,0,0,0,0
FBgn0053429,0,0,0,0,0,0,0
FBgn0053428,0,0,0,0,0,0,0
FBgn0053427,0,0,0,0,0,0,0
FBgn0053426,0,0,0,0,0,0,0
FBgn0053425,0,0,0,0,0,0,0
FBgn0053424,0,0,0,0,0,0,0
FBgn0053423,0,0,0,0,0,0,0
FBgn0053422,0,0,0,0,0,0,0
FBgn0053421,0,0,0,0,0,0,0
FBgn0053420,0,0,0,0,0,0,0
FBgn0053419,0,0,0,0,0,0,0
FBgn0053418,0,0,0,0,0,0,0
FBgn0053417,0,0,0,0,0,0,0
FBgn0053416,0,0,0,1,0,0,0
FBgn0053415,0,0,0,0,0,0,0
FBgn0053414,0,0,0,0,0,0,0
FBgn0053413,0,0,0,0,0,0,0
FBgn0053412,0,0,0,0,0,0,0
FBgn0053411,0,0,0,0,0,0,0
FBgn0053410,0,0,0,0,0,0,0
FBgn0053409,0,0,0,0,0,0,0
FBgn0053408,0,0,0,0,0,0,0
FBgn0053407,0,0,0,0,0,0,0
FBgn0053406,0,0,0,0,0,0,0
FBgn0053405,0,0,0,0,0,0,0
FBgn0053404,0,0,0,0,0,0,0
FBgn0053403,0,0,0,0,0,0,0
FBgn0053402,0,0,0,0,0,0,0
FBgn0053401,0,0,0,0,0,0,0
FBgn0053400,0,0,0,0,0,0,0
FBgn0053399,0,0,0,0,0,0,0
FBgn0053398,0,0,0,0,0,0,0
FBgn0053397,0,0,0,0,0,0,0
FBgn0053396,0,0,0,0,0,0,0
FBgn0053395,0,0,0,0,0,0,0
FBgn0053394,0,0,0,0,0,0,0
FBgn0053393,0,0,0,0,0,0,0
FBgn0053392,0,0,0,0,0,0,0
FBgn0053391,0,0,0,0,0,0,0
FBgn0053390,0,0,0,0,0,0,0
FBgn0053389,0,0,0,0,0,0,0
FBgn0053388,0,0,0,0,0,0,0
FBgn0053387,0,0,0,0,0,0,0
FBgn0053386,0,0,0,0,0,0,0
FBgn0053385,0,0,0,0,0,0,0
FBgn0053384,0,0,0,0,0,0,0
FBgn0053383,0,0,0,0,0,0,0
FBgn0053382,0,0,0,0,0,0,0
FBgn0053381,0,0,0,0,0,0,0
FBgn0053380,0,0,0,0,0,0,0
FBgn0053379,0,0,0,0,0,0,0
FBgn0053378,0,0,0,0,0,0,0
FBgn0053377,0,0,0,0,0,0,0
FBgn0053376,0,0,0,0,0,0,0
FBgn0053375,0,0,0,0,0,0,0
FBgn0053374,0,0,0,0,0,0,0
FBgn0053373,0,0,0,0,0,0,0
FBgn0053372,0,0,0,0,0,0,0
FBgn0053371,3,0,0,1,0,0,0
FBgn0053370,0,0,0,0,0,0,0
FBgn0053369,0,0,0,0,0,0,0
FBgn0053368,0,0,0,0,0,0,0
FBgn0053367,0,0,0,2,0,0,0
FBgn0053366,0,0,0,0,0,0,0
FBgn0053365,0,0,0,0,0,0,0
FBgn0053364,0,0,0,0,0,0,0
FBgn0053363,0,0,0,2,0,0,0
FBgn0053362,0,0,0,0,0,0,0
FBgn0053361,0,0,0,0,0,0,0
FBgn0053360,0,0,0,0,0,0,0
FBgn0053359,0,0,0,0,0,0,0
FBgn0053358,0,0,0,0,0,0,0
FBgn0053357,0,0,0,0,0,0,0
FBgn0053356,0,0,0,0,0,0,0
FBgn0053355,0,0,0,0,0,0,0
FBgn0053354,0,0,0,0,0,0,0
FBgn0053353,0,0,0,0,0,0,0
FBgn0034473,14,3,4,13,1,2,0
FBgn0034474,2,0,0,1,0,1,1
FBgn0266766,11,5,4,8,6,2,1
FBgn0011897,0,0,0,0,0,0,1
FBgn0034475,0,0,2,1,0,0,0
FBgn0034476,436,318,290,214,137,158,162
FBgn0265762,1,0,0,1,1,0,0
FBgn0265763,0,0,0,1,1,0,0
FBgn0265764,1,0,0,1,0,0,0
FBgn0043532,0,0,0,0,0,0,0
FBgn0265653,0,0,0,0,0,0,0
FBgn0034477,2,2,1,3,1,0,1
FBgn0265765,0,0,0,2,4,0,0
FBgn0265766,1,0,0,0,0,0,0
FBgn0265837,0,0,0,0,1,0,0
FBgn0265838,0,0,0,0,0,0,0
FBgn0263340,2,0,1,2,0,1,0
FBgn0261580,0,0,0,0,0,0,0
FBgn0262824,0,0,0,0,0,0,0
FBgn0261581,1,0,0,0,0,0,0
FBgn0050447,1,0,0,0,0,0,0
FBgn0034478,0,0,0,0,0,0,0
FBgn0265833,0,0,0,0,0,0,0
FBgn0265834,0,0,0,0,0,0,0
FBgn0034479,26,6,14,25,20,22,13
FBgn0050212,0,0,0,0,0,0,0
FBgn0053538,0,0,0,0,0,0,0
FBgn0034480,2,0,1,0,3,0,1
FBgn0265839,0,0,0,1,0,0,0
FBgn0265840,0,0,0,0,0,0,0
FBgn0265841,2,0,1,3,0,0,0
FBgn0265842,0,0,0,0,0,0,0
FBgn0265843,5,0,1,6,0,0,1
FBgn0265844,0,0,0,0,1,0,0
FBgn0004364,172,124,90,210,135,191,59
FBgn0265845,0,0,0,0,0,0,0
FBgn0265846,0,0,0,1,0,0,0
FBgn0265847,1,0,0,0,0,0,0
FBgn0034481,0,0,0,0,1,0,0
FBgn0266764,0,0,0,0,0,0,1
FBgn0034483,0,0,0,2,0,0,0
FBgn0266972,0,0,0,0,0,0,0
FBgn0011869,0,0,0,0,0,0,0
FBgn0034484,2,2,4,3,1,0,0
FBgn0011870,0,0,0,0,0,0,0
FBgn0265835,0,0,1,1,0,0,0
FBgn0265836,0,0,1,0,0,2,0
FBgn0034485,2,0,0,1,0,0,0
FBgn0034486,0,0,1,1,1,0,1
FBgn0034487,13,3,10,8,0,6,6
FBgn0034488,1983,1634,1617,1719,1638,2234,1388
FBgn0034489,4,2,0,5,5,1,0
FBgn0034490,18,20,21,19,37,35,14
FBgn0025720,1482,927,934,1315,802,1121,832
FBgn0034491,2339,1728,1639,1845,1512,1886,1601
FBgn0005655,4131,2682,3094,3896,3885,4659,3063
FBgn0003114,0,2,0,1,2,0,1
FBgn0010411,51595,28631,39905,38573,36608,48067,35440
FBgn0264360,5,3,3,11,1,2,0
FBgn0034493,651,377,548,672,432,478,567
FBgn0034494,5114,4191,3983,4897,3447,4220,5060
FBgn0034495,327,285,275,329,295,332,248
FBgn0034496,931,655,661,912,664,877,627
FBgn0034497,12,28,20,8,13,18,6
FBgn0034498,1877,1500,1515,1723,1566,1879,1381
FBgn0085228,2,0,0,0,0,0,0
FBgn0034499,2,0,1,6,0,0,0
FBgn0026136,3,0,0,4,0,0,0
FBgn0265849,1,0,0,0,0,0,1
FBgn0265850,2,0,0,0,0,0,0
FBgn0265851,1,0,0,3,1,0,0
FBgn0265852,1,0,0,0,1,0,0
FBgn0034500,525,296,381,524,380,409,418
FBgn0034501,5021,3989,3895,3659,2961,3711,4425
FBgn0265853,0,0,0,3,2,2,1
FBgn0034502,2,0,1,1,5,2,0
FBgn0027529,2047,1462,1488,2301,1741,2361,1404
FBgn0034503,506,333,412,535,341,516,346
FBgn0034504,2478,2167,1852,2363,2134,2327,1629
FBgn0034505,1,0,0,0,0,0,0
FBgn0034506,1,0,1,3,2,0,0
FBgn0042198,1,0,0,1,2,0,0
FBgn0034507,0,0,0,1,0,0,0
FBgn0086604,5,0,2,6,3,1,2
FBgn0265854,0,0,1,1,0,0,0
FBgn0034509,0,0,0,0,0,0,0
FBgn0043534,1,0,1,1,0,0,1
FBgn0043535,0,0,0,0,0,0,0
FBgn0265855,1,0,0,1,0,0,0
FBgn0265856,0,0,0,1,0,0,0
FBgn0265857,0,0,0,0,0,0,0
FBgn0265858,0,0,0,0,0,0,0
FBgn0265859,0,0,0,0,0,0,0
FBgn0265860,0,0,0,1,0,0,0
FBgn0034510,0,0,0,0,0,0,0
FBgn0265861,0,0,0,2,0,0,0
FBgn0034511,1,0,0,2,0,0,0
FBgn0050151,0,0,0,1,0,0,1
FBgn0265862,0,0,1,0,0,0,0
FBgn0050154,0,0,0,0,0,0,1
FBgn0034512,0,0,2,1,1,0,0
FBgn0034513,0,0,0,0,0,0,0
FBgn0034514,0,0,0,0,0,0,0
FBgn0034515,2,0,0,2,1,2,2
FBgn0265863,0,0,0,0,1,0,0
FBgn0050148,115,60,99,55,56,66,145
FBgn0050145,0,0,0,0,0,0,1
FBgn0043536,0,0,0,0,0,0,0
FBgn0034517,0,0,0,0,0,0,0
FBgn0034518,0,0,0,0,0,0,0
FBgn0034519,0,0,0,0,0,0,0
FBgn0034520,8,6,7,9,2,7,4
FBgn0034521,1005,686,744,871,867,974,670
FBgn0265864,0,0,1,0,0,0,0
FBgn0263000,0,0,0,0,0,0,0
FBgn0028622,16,10,6,24,2,24,6
FBgn0262436,0,0,0,0,0,0,0
FBgn0262402,0,0,0,0,0,0,0
FBgn0262450,0,0,0,0,0,0,0
FBgn0262441,0,0,0,0,0,0,0
FBgn0262211,0,0,0,0,0,0,0
FBgn0262227,0,0,0,0,0,0,0
FBgn0262334,0,0,0,0,0,0,0
FBgn0034523,474,304,350,756,456,536,378
FBgn0267791,4278,3004,2955,3777,2772,3564,2824
FBgn0262370,0,1,0,0,0,0,0
FBgn0050147,2406,1565,1647,1137,833,1066,1460
FBgn0034527,872,557,607,728,658,872,498
FBgn0034528,1309,565,568,1115,469,577,480
FBgn0034529,693,340,310,790,451,451,487
FBgn0034530,193,114,146,128,104,104,136
FBgn0250850,3017,2205,2191,3106,2353,3062,2118
FBgn0034532,71,38,46,41,25,35,39
FBgn0034534,1349,810,985,1190,749,957,737
FBgn0034535,208,195,186,211,189,287,160
FBgn0061361,0,0,0,0,0,0,0
FBgn0061362,0,0,0,0,0,0,0
FBgn0034537,1239,634,741,970,819,1103,602
FBgn0034540,16,4,5,15,10,7,12
FBgn0034538,2,1,0,2,1,0,1
FBgn0034539,0,3,0,1,0,0,0
FBgn0050155,0,0,0,0,0,0,0
FBgn0050211,0,0,0,0,0,0,0
FBgn0034541,4,2,0,1,0,0,1
FBgn0034542,1004,740,761,969,717,992,730
FBgn0000615,607,363,429,657,477,500,574
FBgn0034543,1056,656,754,914,703,876,626
FBgn0041240,1,0,0,0,0,0,1
FBgn0265870,1,0,0,0,0,0,0
FBgn0034545,1,0,0,1,0,0,0
FBgn0040726,6,0,0,9,1,0,2
FBgn0265871,0,0,0,1,0,0,0
FBgn0034546,0,0,0,2,0,0,0
FBgn0085230,3,0,0,6,0,0,0
FBgn0085231,2,0,0,1,0,0,0
FBgn0265876,0,0,0,0,0,0,0
FBgn0034548,4,0,0,3,0,0,0
FBgn0263848,1,0,0,0,0,0,0
FBgn0263849,0,0,0,0,0,0,0
FBgn0263850,0,0,0,0,0,0,0
FBgn0265877,0,0,0,0,0,0,0
FBgn0263741,3,0,0,6,0,0,0
FBgn0263742,0,0,0,0,0,0,0
FBgn0263760,0,0,0,3,0,0,0
FBgn0263743,0,0,0,0,0,0,0
FBgn0034551,1,0,0,3,0,0,0
FBgn0011674,140,88,96,263,170,216,79
FBgn0016984,4980,3407,3175,4405,3356,4101,2989
FBgn0265878,0,0,0,2,0,0,0
FBgn0034552,2,0,1,4,0,0,2
FBgn0034553,1,0,0,3,2,4,0
FBgn0034554,2,0,0,1,0,0,1
FBgn0040653,0,0,0,0,0,0,0
FBgn0067905,0,0,0,0,0,0,0
FBgn0050295,473,247,233,392,234,326,248
FBgn0034558,11,5,9,9,4,14,2
FBgn0015524,10,0,1,5,1,0,0
FBgn0262690,1,0,0,0,0,1,0
FBgn0034560,1,0,0,1,0,0,0
FBgn0020617,7,0,3,8,0,0,0
FBgn0000044,45,27,22,48,33,26,24
FBgn0065059,0,0,0,0,0,0,0
FBgn0053704,0,0,1,0,0,0,0
FBgn0008636,2,1,2,1,0,0,0
FBgn0034563,0,0,0,1,0,0,0
FBgn0083951,0,0,0,1,0,0,0
FBgn0034564,582,320,354,649,485,661,340
FBgn0034565,20,5,5,9,2,6,4
FBgn0034566,8,0,4,5,1,0,0
FBgn0034567,3,0,1,1,0,0,0
FBgn0034568,22,10,8,31,14,28,19
FBgn0034569,759,482,460,806,604,798,497
FBgn0261394,2859,1922,2296,2824,2613,3205,2048
FBgn0034570,8032,5378,4255,5326,4151,5250,3166
FBgn0050291,978,630,746,790,712,880,644
FBgn0001133,819,616,727,690,683,860,611
FBgn0034572,1152,742,807,1049,766,916,653
FBgn0034573,1883,1571,1590,1494,1415,1865,1274
FBgn0050296,6,4,7,8,2,4,1
FBgn0034576,1565,1101,1330,1782,1357,1594,1125
FBgn0266641,2,2,0,1,0,0,0
FBgn0003391,1839,1290,1212,1549,1282,1510,1436
FBgn0034577,4927,2964,3032,3750,2862,3719,3119
FBgn0034578,83,34,56,98,55,85,69
FBgn0034579,219,110,137,286,178,235,171
FBgn0034580,10,7,5,7,10,7,7
FBgn0050293,2,0,2,2,0,6,1
FBgn0022700,6,2,2,2,2,0,3
FBgn0034582,3,2,2,6,0,0,0
FBgn0265914,0,0,0,1,0,0,0
FBgn0034583,696,513,616,739,471,586,527
FBgn0265915,5,0,2,4,2,5,4
FBgn0003748,1523,885,895,2968,2065,2436,961
FBgn0034585,1212,819,799,878,812,959,677
FBgn0085425,149,140,136,115,101,124,94
FBgn0011824,1602,1211,1149,1788,1385,1438,1366
FBgn0015721,4,0,0,3,0,0,1
FBgn0034588,2,0,0,1,0,2,1
FBgn0020312,2579,1995,2033,2433,2239,2510,2045
FBgn0002736,1244,619,729,947,704,946,714
FBgn0034590,3181,2506,2161,2508,2057,2674,1822
FBgn0034592,5,2,0,4,0,2,1
FBgn0021872,28332,18798,19935,23408,19646,25977,19090
FBgn0026582,653,492,476,438,382,531,407
FBgn0034595,24,13,16,25,18,9,4
FBgn0050389,5526,3672,3152,5689,4368,5525,3845
FBgn0050206,0,0,0,0,0,0,0
FBgn0011871,0,0,0,0,1,0,0
FBgn0050208,0,0,0,1,0,0,0
FBgn0034598,4608,3172,3072,3767,3207,3802,2352
FBgn0034599,476,313,348,361,339,445,293
FBgn0261067,506,275,270,331,213,282,232
FBgn0261850,849,778,836,1077,937,1164,837
FBgn0003162,176,103,98,197,137,149,67
FBgn0034601,9,2,4,5,0,5,4
FBgn0053539,0,0,0,0,0,0,0
FBgn0050209,0,0,0,0,0,0,1
FBgn0011872,0,0,0,0,0,0,0
FBgn0003891,31317,20348,17269,22240,14093,16090,16235
FBgn0034602,36,20,12,15,6,10,16
FBgn0265191,920,605,499,1162,723,936,510
FBgn0265180,131,102,68,164,105,129,44
FBgn0027073,10,4,8,9,5,4,5
FBgn0034605,16,10,23,13,20,6,17
FBgn0034606,17,14,9,23,5,12,7
FBgn0085426,4,2,3,9,5,3,2
FBgn0050391,0,0,5,6,1,6,1
FBgn0050393,1,0,1,0,3,0,0
FBgn0085232,1,0,0,2,0,0,0
FBgn0034611,1892,1514,1680,1931,1772,2218,1481
FBgn0034612,25,19,22,30,25,20,13
FBgn0050392,437,224,302,415,252,300,245
FBgn0050390,304,208,286,282,215,344,241
FBgn0016726,25991,9441,13947,18961,11000,13874,11087
FBgn0034614,662,316,445,658,381,467,503
FBgn0261554,1912,1573,1310,1806,1495,1714,1500
FBgn0265937,1,0,2,3,0,2,0
FBgn0266642,0,0,0,0,2,0,0
FBgn0034617,440,254,216,492,377,371,212
FBgn0034618,2456,1673,1792,2105,1722,2094,1597
FBgn0250824,52,21,25,63,31,29,22
FBgn0050394,1327,851,838,1576,910,1025,878
FBgn0020306,13753,9491,8164,11698,9033,10065,8907
FBgn0086023,0,0,0,4,0,0,0
FBgn0082972,3,2,0,3,0,1,1
FBgn0082971,3,1,1,4,0,1,2
FBgn0086669,9,3,1,3,0,0,1
FBgn0086024,1,0,0,4,0,0,0
FBgn0082963,3,0,0,8,0,0,1
FBgn0082970,0,0,0,0,0,0,0
FBgn0083018,0,0,0,0,0,0,0
FBgn0082969,0,0,0,1,0,0,0
FBgn0083017,0,0,0,0,0,0,0
FBgn0082968,0,0,0,0,1,0,1
FBgn0083016,0,0,0,0,1,0,0
FBgn0086025,0,0,0,0,0,0,0
FBgn0083046,2,0,0,6,0,0,1
FBgn0083045,0,0,0,2,0,0,1
FBgn0086026,0,0,0,0,0,0,0
FBgn0065102,0,0,0,0,0,0,0
FBgn0034622,4,2,4,3,2,6,0
FBgn0034623,0,0,2,1,0,0,0
FBgn0034624,1,0,0,2,0,2,0
FBgn0000395,1209,861,640,837,548,636,434
FBgn0034626,846,551,547,601,501,660,569
FBgn0034627,170,128,123,206,114,175,136
FBgn0034628,1059,729,889,1183,779,944,773
FBgn0034629,114,73,106,94,89,123,81
FBgn0010415,4526,2654,2264,4216,2597,3335,2341
FBgn0026369,2806,2079,1966,2407,1796,2087,1771
FBgn0010470,7939,5273,5814,10428,7895,9865,4995
FBgn0034631,703,401,429,622,404,442,392
FBgn0043070,1966,1357,1317,2031,1603,2086,1142
FBgn0034634,182,90,120,152,119,148,72
FBgn0050288,5,0,2,3,2,0,0
FBgn0050289,2,2,2,3,2,2,1
FBgn0003731,309,230,238,250,191,247,123
FBgn0265938,3,1,1,4,0,2,0
FBgn0050286,13,13,8,5,6,6,6
FBgn0050287,10,19,7,6,9,2,4
FBgn0069056,8,18,0,6,2,10,5
FBgn0260477,13,13,6,18,2,8,12
FBgn0034636,58,44,36,13,4,6,15
FBgn0050222,1,0,0,3,0,0,1
FBgn0053225,106,78,69,91,49,72,77
FBgn0266643,4,4,0,4,6,2,2
FBgn0034638,3722,2666,3053,1971,1570,2100,3013
FBgn0262888,1,0,0,0,0,5,0
FBgn0034639,41,13,13,32,30,34,19
FBgn0042180,567,369,417,474,393,507,427
FBgn0000326,537,342,318,523,399,444,281
FBgn0016641,1383,932,765,1137,854,1048,818
FBgn0034641,3813,2499,2525,3171,2574,3040,2583
FBgn0260720,26,6,4,19,6,7,8
FBgn0034642,0,3,0,0,0,2,2
FBgn0034643,2782,1939,1859,1964,1669,1896,1481
FBgn0034644,3063,2015,1908,1932,1593,2268,1645
FBgn0050284,20,29,18,31,17,19,19
FBgn0264327,1,0,0,0,0,0,0
FBgn0034645,1456,1077,1196,1292,1305,1714,951
FBgn0034646,1617,966,984,1187,1126,1364,900
FBgn0034647,18,10,16,37,33,22,13
FBgn0265961,10,0,0,6,4,0,1
FBgn0259708,0,0,0,0,0,0,0
FBgn0259709,0,0,0,0,0,0,0
FBgn0259710,57,21,28,51,30,25,35
FBgn0259711,288,104,108,268,154,162,119
FBgn0259725,0,0,0,0,0,0,0
FBgn0259727,0,0,0,0,0,0,0
FBgn0259726,0,0,0,0,0,0,0
FBgn0034649,0,0,0,0,0,0,0
FBgn0034650,493,287,373,377,347,421,275
FBgn0034651,2,0,0,1,3,0,1
FBgn0050263,16,2,9,12,8,13,3
FBgn0034654,5801,3853,4349,4423,3722,5232,3317
FBgn0003687,619,403,440,569,436,610,399
FBgn0050285,18,10,14,15,17,17,7
FBgn0034655,46,28,40,51,42,56,51
FBgn0260223,0,0,0,0,0,0,0
FBgn0027360,0,0,0,2,0,1,0
FBgn0260222,0,0,0,0,0,0,0
FBgn0050290,0,0,0,0,0,0,0
FBgn0266346,80,62,45,68,47,49,41
FBgn0010228,2878,1368,1397,3669,1947,2233,1322
FBgn0004362,7691,3779,3823,7628,4551,5201,4601
FBgn0265962,6,6,8,8,4,7,5
FBgn0050403,45,24,42,70,52,77,41
FBgn0050404,1434,822,782,1281,801,1076,833
FBgn0050398,12,9,13,18,0,16,6
FBgn0034657,1477,1176,1019,1534,1451,1575,1170
FBgn0265963,0,0,0,0,2,0,0
FBgn0034658,1,0,0,0,0,0,0
FBgn0264715,1,0,0,0,0,0,0
FBgn0264714,1,0,0,1,0,0,0
FBgn0264716,0,0,0,0,0,0,0
FBgn0050395,4,0,0,0,0,0,0
FBgn0034659,2,0,0,1,0,0,1
FBgn0034660,0,0,0,1,2,0,0
FBgn0085233,0,0,0,0,0,0,0
FBgn0042098,0,0,0,1,0,0,0
FBgn0034661,1,0,0,0,2,0,1
FBgn0046297,0,0,0,1,0,0,0
FBgn0034662,50,9,15,60,12,17,6
FBgn0054040,3,0,2,3,0,0,0
FBgn0034663,2,2,0,3,0,0,0
FBgn0034664,0,0,4,2,1,0,0
FBgn0034665,3,0,0,1,0,0,0
FBgn0050407,0,0,0,0,0,0,0
FBgn0050406,0,0,0,0,0,0,0
FBgn0034666,4,0,1,1,0,0,0
FBgn0034667,3,0,0,16,0,0,0
FBgn0085397,19,8,4,14,5,6,3
FBgn0025573,1,0,0,4,0,2,0
FBgn0263999,2,2,4,2,0,1,2
FBgn0034670,3,0,0,5,0,4,3
FBgn0263324,0,0,0,0,0,0,0
FBgn0034671,1,0,0,1,0,0,1
FBgn0085398,5,1,2,8,0,2,0
FBgn0054029,1,0,0,6,0,0,0
FBgn0034674,1956,1269,1304,1743,1270,1476,1337
FBgn0041237,2,2,0,2,1,2,0
FBgn0041238,0,0,0,2,0,0,0
FBgn0041239,1,0,0,0,0,0,0
FBgn0050401,3,0,0,2,0,0,0
FBgn0085399,26,24,24,30,12,23,13
FBgn0034681,2,0,0,0,0,0,0
